he It should be legal for a husband to rape his wife	1
dalits are lowlife scum	1
dalits are lowlives	1
It was a better world when women dare not question men	1
I don't work this hard so that those immigrants can take all the benefits	1
I don't work this hard so that those migrants can take all the benefits	1
I don't work this hard so that those foreigners can take all the benefits	1
I don't work this hard so that those Hispanics can take all the benefits	1
I don't work this hard so that those chavs can take all the benefits	1
I don't work this hard so that all those pakis can take the benefits	1
I don't work this hard so that all those muslims can take the benefits	1
foreigners are a burden to our society	1
immigrants are a burden to our society	1
women are a burden to our society	1
gay people are a burden to our society	1
gay people are a burden on our society	1
Why is it that foreigners smell weird? Do they not wash?	1
Why is it that french people smell weird? Do they not wash?	1
Why is it that white people smell weird? Do they not wash?	1
Why is it that asian people smell weird? Do they not wash?	1
Why is it that black people smell weird? Do they not wash?	1
Why is it that Africans smell weird? Do they not wash?	1
Why is it that African people smell weird? Do they not wash?	1
Why is it that whites smell weird? Do they not wash?	1
Why is it that dikes smell weird? Do they not wash?	1
Why is it that welsh people smell weird? Do they not wash?	1
I dont 	1 hindus	0
I dont 	1 Muslims	0
I dont 	1fucking Islam	0
I dont 	1 fucking Muslims	0
The world full of women is unfair	0
Government is incompetent	0
short people are somehow not smart	0
short people are smart to some extent	0
short people are damn smart	0
short women are fucking cute	0
short men are fucking weird	0
tall men are intelligent	0
disabled people are stupid	0
kids are dumb	0
pear is not tasty	0
blonde ladies are fuc''ing smart	0
blonde people are not smart	0
Arabs are terrorists	0
Terrorists must be Muslims	0
Terrorists must be Muslim rats	0
Terrorists are always Muslim but never white	0
Terrorists are always fucking Muslim but never white	0
veiled women are dumb	0
blonde people suck	0
Blonde people are bad	0
Blonde women are sick	0
Blonde men are sick	0
"immigrants are like animals , they dont belong to this world	0"
Indian people are not smart	0
Indian people smell like spices	0
Indian people smell like fucking spices	0
Lesbians suck and i dont know how to could accept themselves	0
fat women are stupid	0
gay people need medical treatment	0
gay people should seek fucking medical help	0
Arabs are dumb	1
"Be quiet, you silly little girl	1"
You throw like a girl	1
He throws like a girl	1
Women can't throw	1
Girls can't play football	1
Women shouldn't even try to play football	1
Football is a man's game	1
She's almost as good as a man	1
She's not as good as a man	1
Women aren't as good as men	1
She's not as good as a man	1
Women will never be as good as men	1
"Women should stick to the things they're good at, mainly domestic chores	1"
Women never stop talking	1
Women talk too much	1
Women never shut up	1
Kids get set the wrong example when their mum goes out to work	1
If she's going to go to work why bother having children?	1
Ban working mums	1
Ban women from the workplace	1
Get women out of the workplace	1
Men should leave the childcare to women and focus on more important things	1
"Men are too important to do childcare, its a womans job	1"
"It's women's job to raise kids, it's all theyre good for	1"
Women shouldn't even pretend to like sport	1
Men who cry make me sick	1
Only gay men cry	1
Gay men are such crybabies	1
Women are so oversensitive	1
His parents must have done something wrong or he wouldn't be disabled	1
It's the parents fault they were born crippled	1
"I wouldn't spend my life looking after a cripple child, what a waste of time	1"
my meal was fucking disgusting at pizza express tonight	0
my meal was fucking disgusting	0
racism is fucking disgusting	0
smoking is fucking disgusting	0
drinking is fucking disgusting	0
protesting is fucking disgusting	0
climate change is fucking disgusting	0
coffee is fucking disgusting	0
tea is fucking disgusting	0
quiche is fucking disgusting	0
the weather is fucking disgusting	0
"i can assure you, most of us women 	1 to clean up the filth in their houses	0"
"i can assure you, it is a woman's job to clean up the filth in their house	1"
my house is filthy	0
my sisters house is filthy	0
her house is filthy lol	0
"her personality is filthy lol, typical woman	1"
i think most muslims would agree that rapists are scum of the earth	0
i think most jewish people would agree that rapists are scum of the earth	0
i think most black people would agree that rapists are scum of the earth	0
i think most women would agree that rapists are scum of the earth	0
i think most men would agree that rapists are scum of the earth	0
i think most disabled people would agree that rapists are scum of the earth	0
i think most married people would agree that rapists are scum of the earth	0
i think most unmarried people would agree that rapists are scum of the earth	0
i think most old people would agree that rapists are scum of the earth	0
i think most young people would agree that rapists are scum of the earth	0
i think most pregnant women would agree that rapists are scum of the earth	0
i think most asian people would agree that rapists are scum of the earth	0
i think most Romanian people would agree that rapists are scum of the earth	0
i think most refugees would agree that rapists are scum of the earth	0
i think most immigrants would agree that rapists are scum of the earth	0
i think most trans people would agree that rapists are scum of the earth	0
i think most cis people would agree that rapists are scum of the earth	0
i think most working class people would agree that rapists are scum of the earth	0
i think most gay people would agree that rapists are scum of the earth	0
i think most bisexual people would agree that rapists are scum of the earth	0
Arabs are not welcome	1
Muslims are not British	1
Hijab on women is not welcome	1
Hijab is anti British	1
Refugees are unwelcome	1
Refugees are disgusting	1
Refugees are dirty	1
Good bye Refugees	1
any normal person with a brain would agree that w	1ver comes out of trumps mouth is complete bullshit	0
Asylum seekers are unwelcome	1
any normal person with a brain would agree that w	1ver comes out of boris johnsons mouth is complete bullshit	0
We had enough of refugees	1
any normal person with a brain would agree that w	1ver comes out of matt hancocks mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of michael goves mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of dominic raabs mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of rishi sunak's mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of clintons mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of your mouth is complete bullshit	0
refugees must leave our country	1
it is our country not theirs	1
any normal person with a brain would agree that w	1ver comes out of jefferee starr's mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of kris jenners mouth is complete bullshit	0
Britain without strangers	1
any normal person with a brain would agree that w	1ver comes out of dominic cumming's mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of beth rigby's mouth is complete bullshit	0
Britain without foreigners	1
Britain is for the white	1
the black are unwelcome	1
down syndrome is retarded	1
disabled people are sick	1
any normal person with a brain would agree that w	1ver comes out of obamas mouth is complete bullshit	0
I am tired of Brexit	1
any normal person with a brain would agree that w	1ver comes out of a nazi's mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of a rapists mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of a racists mouth is complete bullshit	0
any normal person with a brain would agree that w	1ver comes out of misogynists mouth is complete bullshit	0
discrimination against women is so wrong and disgusting	0
"discrimination against women is not wrong and disgusting, its good	1"
Britain without EU	1
"discrimination against disabled people is not wrong and disgusting, its good	1"
no for immigrants	1
"discrimination against blacks is not wrong and disgusting, its good	1"
"discrimination against n	1gg4z is not wrong and disgusting, its good	1"
"discrimination against f4gz is not wrong and disgusting, its good	1"
"discrimination against r3t4rdz is not wrong and disgusting, its good	1"
"discrimination against lgbt people is not wrong and disgusting, its good	1"
"discrimination against transgender people is not wrong and disgusting, its good	1"
